SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,39.51,742.00,744.00,729.00,738.00,733.50,"1,966.00",745.00,"1,442,063.60",45,-7.00,15.00,-0.94,2.06,0.61,877.64,895.73,"1,230.00",729.00
148,NLG,NLG Insurance Company Limited,32.38,665.00,678.00,662.00,665.00,665.21,"5,712.00",667.00,"3,799,686.50",35,-2.00,16.00,-0.30,2.42,-0.03,523.55,520.24,928.00,423.00
149,NLIC,Nepal Life Insurance Company Limited,32.02,710.00,715.00,700.20,703.00,707.33,"34,446.00",707.10,"24,364,851.30",326,-4.10,14.80,-0.58,2.11,-0.62,656.08,691.73,"1,406.00",570.00
150,NLICL,National Life Insurance Company Limited,35.57,608.00,608.00,592.10,592.10,598.48,"24,351.00",608.00,"14,573,475.70",203,-15.90,15.90,-2.62,2.69,-1.08,569.09,575.32,"1,105.00",492.00
151,NMB,NMB Bank Limited,36.32,231.50,232.00,229.70,229.90,230.30,"55,960.00",232.90,"12,887,814.80",294,-3.00,2.30,-1.29,1.00,-0.18,241.24,248.45,330.00,225.60
152,NMB50,NMB 50,33.13,9.50,9.50,9.41,9.41,9.45,"9,525.00",9.55,"90,007.25",10,-0.14,0.09,-1.47,0.96,-0.42,9.93,10.81,13.53,8.28
153,NMBHF1,NMB Hybrid Fund L- 1,32.09,9.60,9.60,9.60,9.60,9.60,260.00,9.58,"2,496.00",1,0.02,0.00,0.21,0.00,0.00,9.78,10.30,12.25,8.79
154,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,35.98,691.00,716.00,690.90,700.00,702.63,968.00,703.00,"680,146.70",25,-3.00,25.10,-0.43,3.63,-0.38,711.31,733.86,"1,090.00",630.00
155,NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,34.56,"2,153.00","2,173.10","2,132.50","2,132.50","2,148.99","3,503.00","2,175.00","7,527,909.50",117,-42.50,40.60,-1.95,1.90,-0.77,"2,135.87","2,085.55","2,590.00","1,745.00"
156,NRIC,Nepal Reinsurance Company Limited,32.77,804.20,813.00,790.00,794.00,798.27,"33,976.00",804.90,"27,121,993.50",402,-10.90,23.00,-1.35,2.91,-0.54,714.68,735.66,"1,232.70",565.00
157,NRN,NRN Infrastructure and Development Limited,32.22,477.10,490.00,477.10,488.00,482.46,"8,883.00",485.00,"4,285,730.20",115,3.00,12.90,0.62,2.70,1.13,456.90,473.56,830.00,385.00
