SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
109,MHCL,Molung Hydropower Company Limited,48.92,186.00,206.30,186.00,206.30,206.21,"10,126.00",187.60,"2,088,122.10",117,18.70,20.30,9.97,10.91,0.04,0.00,0.00,206.30,141.00
110,MHL,Mandakini Hydropower Limited,28.05,365.50,380.00,357.20,371.00,371.86,"1,539.00",372.90,"572,298.60",73,-1.90,22.80,-0.51,6.38,-0.23,358.09,0.00,436.00,237.30
111,MHNL,Mountain Hydro Nepal Limited,30.17,296.00,296.00,286.00,290.00,288.25,"13,925.00",291.00,"4,013,829.00",65,-1.00,10.00,-0.34,3.50,0.60,279.23,279.31,382.40,212.00
112,MKHC,Maya Khola Hydropower Company Limited,25.57,294.60,294.60,278.20,291.00,287.28,"8,861.00",288.90,"2,545,623.00",356,2.10,16.40,0.73,5.90,1.28,0.00,0.00,367.50,265.50
113,MKJC,Mailung Khola Jal Vidhyut Company Limited,28.23,403.00,419.00,403.00,409.60,413.29,493.00,409.80,"203,751.00",29,-0.20,16.00,-0.05,3.97,-0.90,432.25,449.88,582.40,372.60
114,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,31.21,620.30,625.00,620.30,625.00,621.39,70.00,631.00,"43,497.00",7,-6.00,4.70,-0.95,0.76,0.58,820.25,873.54,"1,199.00",600.00
115,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,33.10,733.10,733.10,721.00,730.00,722.31,"1,150.00",748.00,"830,655.00",6,-18.00,12.10,-2.41,1.68,1.05,982.70,"1,062.62","1,520.00",681.00
116,MLBL,Mahalaxmi Bikas Bank Limited,27.39,310.00,313.20,303.00,309.50,307.70,"7,176.00",312.00,"2,208,075.60",90,-2.50,10.20,-0.80,3.37,0.58,335.70,352.27,446.00,297.00
117,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,37.65,789.40,835.00,755.60,780.00,779.18,230.00,774.00,"179,212.00",13,6.00,79.40,0.78,10.51,0.10,966.01,"1,031.43","1,350.30",727.00
118,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,31.88,"1,900.00","1,900.00","1,876.60","1,886.00","1,888.11",312.00,"1,900.00","589,091.00",15,-14.00,23.40,-0.74,1.25,-0.11,"3,379.58","3,496.46","4,329.60","1,700.00"
119,MMF1,Mega Mutual Fund - 1,24.78,7.30,7.30,7.06,7.24,7.19,"3,801.00",7.44,"27,314.06",19,-0.20,0.24,-2.69,3.40,0.75,7.40,7.51,8.80,6.75
120,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,28.60,599.10,611.00,595.00,609.00,598.09,870.00,602.10,"520,341.00",16,6.90,16.00,1.15,2.69,1.79,803.55,887.92,"1,240.00",568.40
121,MNBBL,Muktinath Bikas Bank Limited,28.81,389.00,396.60,389.00,390.60,390.93,"17,330.00",392.50,"6,774,750.40",178,-1.90,7.60,-0.48,1.95,-0.08,412.52,422.63,505.10,368.00
122,MPFL,Multipurpose Finance Company Limited,26.43,309.00,316.00,308.70,316.00,309.35,632.00,315.00,"195,510.40",7,1.00,7.30,0.32,2.36,2.10,324.14,320.93,386.90,206.10
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,31.02,722.00,735.00,722.00,735.00,726.33,30.00,736.50,"21,790.00",3,-1.50,13.00,-0.20,1.80,1.18,"1,018.01","1,069.35","1,366.80",722.00
124,NABBC,Narayani Development Bank Limited,23.13,400.00,400.00,390.00,392.00,391.30,385.00,393.10,"150,650.00",9,-1.10,10.00,-0.28,2.56,0.18,396.08,406.35,513.70,317.70
125,NABIL,Nabil Bank Limited,27.41,604.00,620.00,604.00,616.00,617.28,"32,979.00",616.00,"20,357,427.70",420,0.00,16.00,0.00,2.65,-0.21,731.45,756.63,980.00,577.00
126,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,24.79,554.90,554.90,518.70,532.90,524.55,"1,051.00",544.60,"551,297.80",40,-11.70,36.20,-2.15,6.98,1.57,734.72,714.92,"1,011.00",503.00
